GSPAR_IDS,ALTAR_ID,REPORT_YEAR,BASIN_NAME,SUBBASIN_NUMBER,SINGLE_MULTIPLE_AR,ANNUAL_REPORT_AREA,METHOD_USED,TOTAL_WATER_USE,WST_EXPLANATION,WST_GROUNDWATER,WST_OTHER,WST_RECYCLED_WATER,WST_REUSED_WATER,WST_SURFACE_WATER,WUS_AGRICULTURAL,WUS_EXPLANATION,WUS_INDUSTRIAL,WUS_MANAGED_RECHARGE,WUS_MANAGED_WETLANDS,WUS_NATIVE_VEGETATION,WUS_OTHER,WUS_URBAN
"258,263,264,266,267,268",,2022,TULE,5-022.13,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,1197750,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,719338,262007,5830,1300,207490,1083958,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,49069,0,0,40140,18917
225,,2022,TURLOCK,5-022.03,Single Annual Report,Entire Basin,"Groundwater volume was obtained by measurements provided by local agencies, and by estimates using the groundwater model C2VSimTM. 
Surface water supply was obtained by measurements provided by local agencies and water rights (eWRIMS) data in conjunction with demands simulated by the C2VSimTM model.
Recycled water supply was obtained by measurements provided by local agencies and Hilmar Cheese Company.",887100,,554400,0,25700,0,307000,848900,,0,0,0,0,0,38200
233,,2022,WESTSIDE,5-022.09,Single Annual Report,Entire Basin,Groundwater extraction from metered wells and monthly surface water delivery records from USBR,765000,,608000,0,0,0,157000,760000,Small water systems (3948 AF) and Domestic wells (82 AF),0,0,197,0,4030,910
271,,2022,WHITE WOLF,5-022.18,Single Annual Report,Entire Basin,"Total water use is equal to the sum of total estimated groundwater extraction, the total surface water supplies, and total applied recycled water.",99540,,60200,0,83,0,39256,95865,,0,0,0,0,0,4277
316,,2023,CHOWCHILLA,5-022.05,Single Annual Report,Entire Basin,"Total Water Use is assumed to be the total volume of water that is applied to land surfaces or that precipitates onto land surfaces. A portion of this water is consumptively ""used"" through evapotranspiration/evaporation. The remaining water is ""used"" to recharge the Subbasin through deep percolation and seepage of runoff.
Groundwater is determined following the methods described in Part B.
Surface water is determined from delivery records (from Districts) and riparian diversion reports (eWRIMS).
Precipitation is determined from PRISM data.",491300,Precipitation,96080,144940,0,0,250280,399150,,0,60440,0,21720,0,9990
312,,2023,COSUMNES,5-022.16,Single Annual Report,Entire Basin,"All water source types represented by a combination of metered, reported, and estimated uses.",144000,,121600,0,1100,0,21300,0,,0,0,0,0,0,0
331,,2023,DELTA-MENDOTA,5-022.07,Single Annual Report,Entire Basin,"Sum of self-reported volumes from each GSA within the Delta-Mendota Subbaisn across six Subbasin GSP regions; Reflects water lost through canal leakage, pipe leakage, and other percolating waters",1394500,,216200,0,21700,9800,1146800,1005700,,2600,53600,317500,0,0,15100
343,,2023,EAST CONTRA COSTA,5-022.19,Single Annual Report,Entire Basin,East Contra Costa Groundwater-Surface Water Simulation Model (ECCSim) developed for the ECC GSP was used to estimate the Basin's water budget. Groundwater demand for agriculture was estimated based on crop water demand that is not met with reported surface water diversions and metered groundwater. City and Irrigation district groundwater wells were metered. Considered reported domestic wells and PWS in the Subbasin and estimated a pumping amount from report values in SWRCB and and annual use per well. Monthly self reported surface water diversions. ,186136,,38307,0,1496,0,146333,154950,,0,0,0,0,0,29886
280,,2023,EASTERN SAN JOAQUIN,5-022.01,Single Annual Report,Entire Basin,Total water use is the sum of groundwater use (Part A) and surface water use (Part C).,1359834,,805994,0,0,0,553840,1245800,,0,0,0,0,0,114033
334,,2023,KAWEAH,5-022.11,Single Annual Report,Entire Basin,Sum of groundwater use plus water supplies minus conveyance losses,1283700,,308100,0,11200,0,1194000,228600,,21800,316800,0,400,0,57200
363,,2023,KERN COUNTY,5-022.14,Single Annual Report,Entire Basin,"Meters, Land Use Calculations, Groundwater Model",4109632,,925464,0,36949,148,3147071,2212723,"Banking Recovery, exchanges and pumpins",0,1824171,16340,0,178315,192425
339,,2023,KINGS,5-022.08,Single Annual Report,Entire Basin,Sum of all water supplies,2800830,Riparian water diversions,863611,77914,7166,0,1852139,1886596,JID Wells Pumped in McMullin GSA,0,651277,0,0,221,261422
"317,321,329,376",,2023,MADERA,5-022.06,Multiple Annual Reports,Entire Basin,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,891686,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,272226,330929,232,0,288299,660006,Explanations for individual Annual Reports are available on the SGMA Portal (https://sgma.water.ca.gov/portal/gspar/submitted).,0,42632,0,100400,0,55729
